filename,label
xrayTest/E004030006316908_2_990/1_15790006161_5E004030006316908.png,.990
xrayTest/E004030006316E18_1_303/1_15731363019_4_E004030006316E18_E004030006316E18.png,.303
xrayTest/E004030006316E18_1_303/1_15731338434_4_E004030006316E18_E004030006316E18.png,.303
xrayTest/E004030006333988_3_598/0_15784168322_4E004030006333988_01001.png,.598
xrayTest/4_1_180/1_15743433743_4_.png,.180
xrayTest/E004010010630740_3_754/0_15784167633_4E004010010630740_00001.png,.754
xrayTest/E004030006316908_2_990/1_15790014512_5E004030006316908.png,.990
xrayTest/E004030006333988_3_598/0_15784006341_4E004030006333988_01001.png,.598
xrayTest/4_1_180/1_15743435450_4_0.png,.180
xrayTest/E004030006333988_3_598/0_15790018818_4E004030006333988_01001.png,.598
xrayTest/E004010010630740_3_754/1_15790063904_4E004010010630740.png,.754
xrayTest/E004030006323A31_2_890/1_15784134710_4E004030006323A31.png,.890
xrayTest/E004030006323A31_2_890/1_15784131405_5E004030006323A31.png,.890
xrayTest/4_1_180/1_15743433600_4_0.png,.180
xrayTest/E004030006323A31_2_890/1_15784130257_5E004030006323A31.png,.890
xrayTest/E004030006323A31_2_890/1_15790091230_5E004030006323A31.png,.890
xrayTest/E004030006316908_2_990/0_15790047153_5E004030006316908_00010.png,.990
xrayTest/E004030006333988_3_598/1_15790048467_4E004030006333988.png,.598
xrayTest/E004030006323A31_2_890/1_15790005394_5E004030006323A31.png,.890
xrayTest/E004030006333988_3_598/0_15790064440_4E004030006333988_01011.png,.598
xrayTest/E004010010630740_3_754/1_15790048189_4E004010010630740.png,.754
xrayTest/E004010010630740_3_754/0_15784046008_4E004010010630740_00001.png,.754
xrayTest/E004030006323A31_2_890/1_15790096996_5E004030006323A31.png,.890
xrayTest/E004030006333988_3_598/0_15790005964_4E004030006333988_00001.png,.598
xrayTest/E004010010630740_3_754/1_15784164033_4E004010010630740.png,.754
xrayTest/E004010010630740_3_754/1_15790097969_4E004010010630740.png,.754
xrayTest/E004010010630740_3_754/1_15784133926_4E004010010630740.png,.754
xrayTest/E004030006323A31_2_890/1_15790001771_5E004030006323A31.png,.890
xrayTest/E004030006316E18_1_303/1_15731337483_4_E004030006316E18_E004030006316E18.png,.303
xrayTest/E004030006323A31_2_890/1_15790006840_5E004030006323A31.png,.890
xrayTest/E004030004D43BAE_2_512/1_15731376902_5_E004030004D43BAE_E004030004D43BAE.png,.512
xrayTest/E004030006323A31_2_890/1_15784167878_5E004030006323A31.png,.890
xrayTest/E004010010630740_3_754/1_15784115975_4E004010010630740.png,.754
xrayTest/E004010010630740_3_754/1_15790080522_4E004010010630740.png,.754
xrayTest/E004030006316908_2_990/1_15784013979_5E004030006316908.png,.990
xrayTest/E004030006333988_3_598/0_15784132321_4E004030006333988_00011.png,.598
xrayTest/4_1_180/1_15743432865_4_.png,.180
xrayTest/E004010010630740_3_754/0_15790045977_4E004010010630740_01001.png,.754
