filename,label
xrayTrain/E004030006318B71_2_964/1_15784044600_5E004030006318B71.png,.964
xrayTrain/vizE0040300063303E2_3_598/_1_15749576253_5_E0040300063303E2.png,.598
xrayTrain/E004030006317088_1_298/1_15731332184_4_E004030006317088_E004030006317088.png,.298
xrayTrain/E004030001ACE7F2_3_894/1_15784071293_5E004030001ACE7F2.png,.894
xrayTrain/E0040300063303E2_3_750/0_15783999904_4E0040300063303E2_01111.png,.750
xrayTrain/E004030006318B71_3_740/1_15731325286_5_E004030006318B71_E004030006318B71.png,.740
xrayTrain/E0040300063303E2_3_750/0_15790045758_4E0040300063303E2_01101.png,.750
xrayTrain/2_3_1988/_0_15737546467_4.png,1.988
xrayTrain/E004030007D66157_1_366/1_15731326082_4_E004030007D66157_E004030007D66157.png,.366
xrayTrain/vizE004030006323A31_3_1092/_1_15749568644_5_E004030006323A31.png,1.092
xrayTrain/vizE004030006323A31_3_1092/_0_15749584858_5_E004030006323A31.png,1.092
xrayTrain/E004030006318B71_2_964/1_15790098124_5E004030006318B71.png,.964
xrayTrain/E0040300063305A1_2_960/1_15790036396_5E0040300063305A1.png,.960
xrayTrain/E004030001ACE7F2_3_894/1_15783988915_5E004030001ACE7F2.png,.894
xrayTrain/E00403000631684F_3_894/1_15731368176_5_E00403000631684F_E00403000631684F.png,.894
xrayTrain/E0040300063224A8_2_876/1_15731359179_5_E0040300063224A8_E0040300063224A8.png,.876
xrayTrain/E00403000219E862_1_304/1_15790019904_4E00403000219E862.png,.304
xrayTrain/vizE0040300063303E2_3_598/_0_15749578419_4_E0040300063303E2.png,.598
xrayTrain/E00401000F098D4B_3_800/1_15784118429_5E00401000F098D4B.png,.800
xrayTrain/vizE0040300063303E2_3_598/_1_15749504837_5_E0040300063303E2.png,.598
xrayTrain/E004030006318B71_2_964/1_15784041338_5E004030006318B71.png,.964
xrayTrain/E004030007D66157_1_366/1_15731363795_4_E004030007D66157_E004030007D66157.png,.366
xrayTrain/E004010010630740_3_708/1_15731355670_5_E004010010630740_E004010010630740.png,.708
xrayTrain/E0040300063303E2_3_750/0_15789996825_4E0040300063303E2_00101.png,.750
xrayTrain/vizE004030006333988_3_902/_0_15749578933_5_E004030006333988.png,.902
xrayTrain/0_1_62/1_15737523904_4.png,.062
xrayTrain/E0040300063305A1_2_958/1_15731356609_5_E0040300063305A1_E0040300063305A1.png,.958
xrayTrain/E004010010630740_3_708/1_15731352478_5_E004010010630740_E004010010630740.png,.708
xrayTrain/0_1_62/1_15737524363_4.png,.062
xrayTrain/E00403000632320E_3_1310/1_15790010525_5E00403000632320E.png,1.310
xrayTrain/vizE004030006318B71_3_740/_0_15749500367_3_E004030006318B71.png,.740
xrayTrain/vizE004010010630740_3_950/_0_15749589885_5_E004010010630740.png,.950
xrayTrain/E00403000219E862_1_304/1_15790096873_4E00403000219E862.png,.304
xrayTrain/vizE00403000632320E_3_712/_1_15749577737_5_E00403000632320E.png,.712
xrayTrain/vizE004030006323A31_3_1092/_1_15749551699_5_E004030006323A31.png,1.092
xrayTrain/vizE004030006323A31_3_1092/_0_15749512887_5_E004030006323A31.png,1.092
xrayTrain/0_1_62/1_15737525121_4.png,.062
xrayTrain/E00401000F095335_3_520/0_15790097402_4E00401000F095335_00001.png,.520
xrayTrain/2_1_240/1_15743413646_4_0.png,.240
xrayTrain/vizE0040300063303E2_3_598/_0_15749582739_4_E0040300063303E2.png,.598
xrayTrain/E00401000F095335_3_520/0_15784164156_4E00401000F095335_01011.png,.520
xrayTrain/E0040300063303E2_3_750/1_15790092893_4E0040300063303E2.png,.750
xrayTrain/E00403000631684F_3_552/0_15784159982_4E00403000631684F_00001.png,.552
xrayTrain/E00401000F098D4B_3_800/1_15784010112_5E00401000F098D4B.png,.800
xrayTrain/vizE00403000632320E_3_712/_1_15749563469_5_E00403000632320E.png,.712
xrayTrain/E00401000F095335_3_520/0_15790090870_4E00401000F095335_00001.png,.520
xrayTrain/E00403000632320E_2_441/1_15731358579_4_E00403000632320E_E00403000632320E.png,.441
xrayTrain/E00403000219CEE4_2_884/1_15731336616_5_E00403000219CEE4_E00403000219CEE4.png,.884
xrayTrain/E00403000219E862_1_304/1_15731338165_4_E00403000219E862_E00403000219E862.png,.304
xrayTrain/E004030006326B0E_1_290/1_15731333811_4_E004030006326B0E_E004030006326B0E.png,.290
xrayTrain/E00403000632320E_3_1310/1_15790090639_5E00403000632320E.png,1.310
xrayTrain/E00403000631684F_3_552/0_15783995723_4E00403000631684F_01101.png,.552
